"","StockName","AssetCategory","AssetClass","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","weightCalc"
"1126","Safaricom Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0.11,0,-11,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1127","KCB (RIGHTS)","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1128","Shell Bond","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1129","TPS Eastern Africa (Serena) Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1130","Equity Bank Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1131","E.A.Cables Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/13/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1132","Diamond Trust Bank Kenya Ltd Ord 4.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1133","KCB (RIGHTS)","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1134","KenGen Ltd Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1135","Shell Bond","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1136","A.Baumann Co. Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1137","Longonot Place","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1138","Sameer Africa Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1139","Unga Group Rights Issue","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1140","East African Breweries Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.1,0,-10,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1141","Barclays Bank Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1142","Atlas Development & Support Services Ltd","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1143","Eaagads Ltd Ord 1.25","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1144","Umeme Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1145","National Bank of Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1146","Kenya Re-Insurance Corporation Ltd Ord 2.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1147","CMC Holdings Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1148","Nairobi Securities Exchange Ltd Ord 4.00 ","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1149","Safaricom Bond","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1150","Unilever Tea Ltd","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1151","UAP Holdings Ltd","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1152","Standard Chartered Bank  Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1153","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",908542.1,0.053609988,908542.1,1,"7/14/2019",0,0,0.04,0,1.361,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,908542.1,0.000594670111800433
"1154","Centum Investment Co Ltd Ord 0.50","Listed Equity","EQUITIES",219179.8,0.012933057,219179.8,1,"7/14/2019",0,0,0.02,0,-0.707,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,219179.8,0.000143460249305339
"1155","Standard Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.02,0,-2,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1156","Kenya Orchards Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1157","Marshalls (E.A.) Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1158","Anglo African Property","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1159","British-American Investments Ord 0.10","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1160","Limuru Tea Co. Ltd Ord 20.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1161","TPS Eastern Africa (Serena) Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1162","Co-operative Bank of Kenya Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1163","City Trust Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1164","E.A.Portland Cement Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1165","Eveready East Africa Ltd Ord.1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1166","Home Africa Ltd Ord1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1167","Kengen Bond","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1168","Kurwitu Ventures Ltd Ord 100.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1169","Access Kenya Group Ltd Ord. 1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1170","Bamburi Cement Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1171","Liberty Kenya Holdings Ltd Ord.1.00","Listed Equity","EQUITIES",333000,0.019649201,333000,1,"7/14/2019",0,0,0,0,1.965,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,333000,0.000217959241767161
"1172","Lonrho Motors EA Ltd","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1173","Standard Chartered Bank Ltd Ord 5.00","Listed Equity","EQUITIES",3097512,0.18277368,3097512,1,"7/14/2019",0,0,0.05,0,13.277,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,3097512,0.00202742152217622
"1174","Olympia Capital Holdings ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1175","KQ Rights","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1176","Stanbic Holdings Plc Ord.5.00","Listed Equity","EQUITIES",723043.8,0.042664363,723043.8,1,"7/14/2019",0,0,0.05,0,-0.734,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,723043.8,0.000473255490728069
"1177","Williamson Tea Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1178","NCBA Group Plc Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1179","Carbacid Investments Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1180","I&M Holdings Ltd Ord 1.00","Listed Equity","EQUITIES",429000,0.025313835,429000,1,"7/14/2019",0,0,0,0,2.531,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,429000,0.000280794338492829
"1181","Express Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1182","Athi River Mining Ord 5.00","Listed Equity","EQUITIES",4856250,0.286550845,4856250,1,"7/14/2019",0,0,0,0,28.655,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,4856250,0.0031785722757711
"1183","Hutchings Biemer Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1184","British American Tobacco Kenya Ltd Ord 10.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1185","Nairobi Business Ventures Ltd","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1186","Rea Vipingo Plantations Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1187","Flame Tree Group Holdings Ltd Ord 0.825","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1188","Kenya Airways Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1189","Longhorn Kenya Ltd Ord 1.00 AIMS","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1190","Unga Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1191","Sanlam Kenya Plc Ord 5.00","Listed Equity","EQUITIES",182346.4,0.010759643,182346.4,1,"7/14/2019",0,0,0.04,0,-2.924,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,182346.4,0.000119351600849764
"1192","Uchumi Supermarket Ltd Ord 5.00","Listed Equity","EQUITIES",8694,0.000513003,8694,1,"7/14/2019",0,0,0,0,0.051,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,8694,5.69050344721832e-06
"1193","NIC Rights Issue","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1194","Deacons (East Africa) Plc Ord 2.50","Listed Equity","EQUITIES",213255,0.012583454,213255,1,"7/14/2019",0,0,0,0,1.258,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,213255,0.000139582276585754
"1195","KenolKobil Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1196","Kengen Rights","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1197","Total Kenya Ltd Ord 5.00","Listed Equity","EQUITIES",287850,0.016985052,287850,1,"7/14/2019",0,0,0.02,0,-0.301,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,287850,0.00018840711033837
"1198","Scangroup Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1199","Family Bank Limited","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1200","Safaricom Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.11,0,-11,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1201","Housing Finance Co Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1202","KPLC Rights","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1203","DTB Rights Issue","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1204","Kakuzi Ord.5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1205","Sasini Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1206","CIC Insurance Group Ltd Ord.1.00","Listed Equity","EQUITIES",144672,0.008536604,144672,1,"7/14/2019",0,0,0.03,0,-2.146,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,144672,9.46924907655818e-05
"1207","Crown Paints  Kenya  Ltd 0rd 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1208","E.A.Cables Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1209","Trans-Century Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1210","Housing Finance Co.Kenya Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1211","B.O.C Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.02,0,-2,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1212","Mumias Sugar Co. Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1213","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",65809.3,0.003883184,65809.3,1,"7/14/2019",0,0,0.01,0,-0.612,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,65809.3,4.30743096973803e-05
"1214","Equity Bank Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1215","Car and General (K) Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1216","Kenya Commercial Bank Ltd Ord 1.00","Listed Equity","EQUITIES",5478099.75,0.32324409,5478099.75,1,"7/14/2019",0,0,0.05,0,27.324,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,5478099.75,0.00358559299650113
"1217","Nation Media Group Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1218","Kapchorua Tea Co. Ltd Ord Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/14/2019",0,0,0.03,0,-3,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1219","Family Bank Limited","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1220","Standard Chartered Bank  Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1221","Kengen Bond","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1222","Housing Finance Co.Kenya Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1223","Limuru Tea Co. Ltd Ord 20.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1224","Standard Chartered Bank Ltd Ord 5.00","Listed Equity","EQUITIES",3097512,0.18277368,3097512,1.006313131,"7/15/2019",0,0,0.05,0,13.277,0.631,0,0.032,0.6,0.032,1,"Nairobi All Share Index",0.001153874,0,0.006313131,3117067,0.00204022090047279
"1225","Car and General (K) Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1226","Deacons (East Africa) Plc Ord 2.50","Listed Equity","EQUITIES",213255,0.012583454,213255,1,"7/15/2019",0,0,0,0,1.258,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,213255,0.000139582276585754
"1227","CMC Holdings Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1228","Kenya Airways Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-0.395,0,0,-0.395,0,0,"Nairobi All Share Index",0,0,-0.003952569,0,0
"1229","Unilever Tea Ltd","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1230","Centum Investment Co Ltd Ord 0.50","Listed Equity","EQUITIES",219179.8,0.012933057,219179.8,1.004559271,"7/15/2019",0,0,0.02,0,-0.707,0.456,0,0.009,0.447,0.009,1,"Nairobi All Share Index",5.89653e-05,0,0.004559271,220179.1,0.000144114323390318
"1231","CIC Insurance Group Ltd Ord.1.00","Listed Equity","EQUITIES",144672,0.008536604,144672,1,"7/15/2019",0,0,0.03,0,-2.146,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,144672,9.46924907655818e-05
"1232","Kenya Re-Insurance Corporation Ltd Ord 2.50","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1233","Marshalls (E.A.) Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1234","Nation Media Group Ord. 2.50","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0.518,0,0,0.518,0,0,"Nairobi All Share Index",0,0,0.005181347,0,0
"1235","Safaricom Ltd Ord 0.05","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.11,0,-11,-0.901,0,-0.099,-0.802,-0.099,0,"Nairobi All Share Index",0,0,-0.009009009,0,0
"1236","Co-operative Bank of Kenya Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.05,0,-5,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1237","Express Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-1.361,0,0,-1.361,0,0,"Nairobi All Share Index",0,0,-0.013605442,0,0
"1238","Nairobi Securities Exchange Ltd Ord 4.00 ","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.03,0,-3,-1.633,0,-0.049,-1.584,-0.049,0,"Nairobi All Share Index",0,0,-0.016326531,0,0
"1239","Sameer Africa Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-2.477,0,0,-2.477,0,0,"Nairobi All Share Index",0,0,-0.024767802,0,0
"1240","Unga Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-0.963,0,0,-0.963,0,0,"Nairobi All Share Index",0,0,-0.009628611,0,0
"1241","Standard Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.02,0,-2,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1242","Lonrho Motors EA Ltd","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1243","Rea Vipingo Plantations Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1244","Stanbic Holdings Plc Ord.5.00","Listed Equity","EQUITIES",723043.8,0.042664363,723043.8,1,"7/15/2019",0,0,0.05,0,-0.734,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,723043.8,0.000473255490728069
"1245","Kenya Commercial Bank Ltd Ord 1.00","Listed Equity","EQUITIES",5478099.75,0.32324409,5478099.75,1.004804805,"7/15/2019",0,0,0.05,0,27.324,0.48,0,0.024,0.456,0.024,1,"Nairobi All Share Index",0.001553125,0,0.004804805,5504420.95,0.00360282107095879
"1246","Carbacid Investments Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.01,0,-1,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1247","Olympia Capital Holdings ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1248","B.O.C Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.02,0,-2,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1249","Unga Group Rights Issue","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1250","A.Baumann Co. Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1251","National Bank of Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-0.978,0,0,-0.978,0,0,"Nairobi All Share Index",0,0,-0.009779951,0,0
"1252","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",908542.1,0.053609988,908542.1,1,"7/15/2019",0,0,0.04,0,1.361,0,0,0,0,0,1,"Nairobi All Share Index",0,0,0,908542.1,0.000594670111800433
"1253","City Trust Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1254","Hutchings Biemer Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1255","KQ Rights","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1256","Longhorn Kenya Ltd Ord 1.00 AIMS","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,2.5,0,0,2.5,0,0,"Nairobi All Share Index",0,0,0.025,0,0
"1257","E.A.Cables Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1258","Housing Finance Co Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,-7.226,0,0,-7.226,0,0,"Nairobi All Share Index",0,0,-0.072261072,0,0
"1259","DTB Rights Issue","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1260","Kengen Rights","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1261","Equity Bank Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0.05,0,-5,-1.603,0,-0.08,-1.523,-0.08,0,"Nairobi All Share Index",0,0,-0.016029593,0,0
"1262","Access Kenya Group Ltd Ord. 1.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
"1263","Scangroup Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,2.326,0,0,2.326,0,0,"Nairobi All Share Index",0,0,0.023255814,0,0
"1264","Atlas Development & Support Services Ltd","Listed Equity","Equities",0,0,0,0,"7/15/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0,0,0,0
