"","StockName","AssetCategory","AssetClass","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","weightCalc"
"27","Kenya Re-Insurance Corporation Ltd Ord 2.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,1.064,0,0,1.064,0,0,"Nairobi All Share Index",0,0.002673618,0.010638298,0,0
"28","Kenya Airways Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"29","Atlas Development & Support Services Ltd","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"30","Trans-Century Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,3.704,0,0,3.704,0,0,"Nairobi All Share Index",0,0.002673618,0.037037037,0,0
"31","Umeme Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"32","Housing Finance Co Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0.748,0,0,0.748,0,0,"Nairobi All Share Index",0,0.002673618,0.007481297,0,0
"33","Access Kenya Group Ltd Ord. 1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"34","City Trust Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"35","East African Breweries Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.1,0.000267362,-10,-0.277,-0.027,-0.052,-0.199,-0.079,0,"Nairobi All Share Index",0,0.002673618,-0.002503129,0,0
"36","Hutchings Biemer Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"37","British-American Investments Ord 0.10","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.01,2.67362e-05,-1,0.729,-0.003,0.005,0.727,0.002,0,"Nairobi All Share Index",0,0.002673618,0.007317073,0,0
"38","Unga Group Rights Issue","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"39","Standard Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.02,5.34724e-05,-2,-1.463,-0.005,-0.034,-1.423,-0.04,0,"Nairobi All Share Index",0,0.002673618,-0.014571949,0,0
"40","Housing Finance Co.Kenya Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"41","Centum Investment Co Ltd Ord 0.50","Listed Equity","EQUITIES",209186.8,0.012470441,209186.8,1.036624204,"7/1/2019",0,0,0.02,0.005,-0.753,3.657,-0.002,0.068,3.591,0.066,1,"Nairobi All Share Index",0.00045672,0.002673618,0.036624204,216848.1,0.000141934076440389
"42","Express Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"43","Barclays Bank Ltd Ord 2.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.05,0.000133681,-5,-0.492,-0.013,-0.037,-0.441,-0.051,0,"Nairobi All Share Index",0,0.002673618,-0.004784689,0,0
"44","Longonot Place","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"45","Williamson Tea Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,6.714,0,0,6.714,0,0,"Nairobi All Share Index",0,0.002673618,0.067137809,0,0
"46","Kenya Commercial Bank Ltd Ord 1.00","Listed Equity","EQUITIES",5346493.75,0.318725352,5346493.75,1.011076923,"7/1/2019",0,0,0.05,0.013,26.873,1.094,0.072,0.042,0.98,0.114,1,"Nairobi All Share Index",0.003530496,0.002673618,0.011076923,5405716.45,0.00353821579174255
"47","Kengen Bond","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"48","Safaricom Bond","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"49","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",64321.15,0.003834435,64321.15,1,"7/1/2019",0,0,0.01,0.003,-0.617,-0.003,-0.002,-0.003,0.002,-0.004,1,"Nairobi All Share Index",0,0.002673618,0,64321.15,4.21002675182938e-05
"50","Kengen Rights","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"51","Nairobi Business Ventures Ltd","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,-4.545,0,0,-4.545,0,0,"Nairobi All Share Index",0,0.002673618,-0.045454545,0,0
"52","KQ Rights","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"53","Shell Bond","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"54","Nairobi Securities Exchange Ltd Ord 4.00 ","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.03,8.02085e-05,-3,-0.416,-0.008,-0.02,-0.388,-0.028,0,"Nairobi All Share Index",0,0.002673618,-0.004081633,0,0
"55","B.O.C Kenya Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.02,5.34724e-05,-2,-0.005,-0.005,-0.005,0.005,-0.011,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"56","Diamond Trust Bank Kenya Ltd Ord 4.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.05,0.000133681,-5,1.897,-0.013,0.082,1.829,0.069,0,"Nairobi All Share Index",0,0.002673618,0.01910828,0,0
"57","Standard Chartered Bank  Ltd Rights","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"58","Olympia Capital Holdings ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,4.331,0,0,4.331,0,0,"Nairobi All Share Index",0,0.002673618,0.043307087,0,0
"59","Co-operative Bank of Kenya Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.05,0.000133681,-5,-0.43,-0.013,-0.034,-0.382,-0.048,0,"Nairobi All Share Index",0,0.002673618,-0.004166667,0,0
"60","Equity Bank Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.05,0.000133681,-5,0.628,-0.013,0.019,0.623,0.005,0,"Nairobi All Share Index",0,0.002673618,0.006418485,0,0
"61","Crown Paints  Kenya  Ltd 0rd 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
