"","Id","InvestorId","StockId","StockName","AssetCategory","AssetClass","OpeningVolume","PurchaseVolume","SaleVolume","PurchaseValue","SaleValue","ClosingVolume","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Revaluation","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","OpeningStockPrice","ClosingStockPrice","StockPerformanceBasedOnPrice","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","AssetCategoryId","AssetClassId","InstrumentType","InstrumentId","test_Units","difUnits","test_UnitPRice","difUnitPrice","test_ActualPerformance","diffActualPerformance","test_Weight","diffWeights","test_weightedPerformance","diffweightedPerformance","test_BenchmarkPerf","diffBenchmarkPerf","test_BenchmarkWeight","diffBenchmarkWeight","test_WeightedBMPerformance","diffWeightedBMPerf","test_ActiveWeight","diffActiveWeight","test_ActiveReturn","diffActiveReturn","test_SelectionEffect","diffSelectionEffect","test_AllocationEffect","diffAllocationEffect","test_InteractionEffect","diffInteractionEffect","test_ActiveManagementEffect","diffActiveManagement"
"1","6B764DBC-6957-4351-B59B-16776829AC7E","63E966AC-F07A-E411-8298-A45D36CA17D6","BA757914-96EB-E211-AD2F-000C29D7DB13","I&M Holdings Ltd Ord 1.00","Listed Equity","EQUITIES",93520,0,0,0,0,93520,429000,0.025574364,429000,1,"00:00.0",1,0,0,0,0,2.557,0,0.007,0,-0.007,0.007,55,55,0,1,"Nairobi All Share Index",0,0.002673618,0,429000,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",429000,0,1,0,0,0,0.000280794338492829,-0.0252935696615072,0,0,0.002673618,0,0,0,0,0,0.000280794338492829,-2.55671920566151,-0.002673618,-0.002673618,0,0,0.000000750736797692521,-0.00699924926320231,-0.00267436873679769,0.00432563126320231,0.000000750736797692521,-0.00699924926320231
"2","E361CF4C-968E-4E88-954A-18177FFF3D1E","63E966AC-F07A-E411-8298-A45D36CA17D6","5B3033A4-5E8A-DF11-89DA-001C26EE1812","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",100213,0,0,0,0,100213,953606.35,0.056848195,953606.35,1,"00:00.0",1,0,0,0.04,0.011,1.685,-0.011,0.005,-0.011,-0.005,-0.006,399.75,399.75,0,1,"Nairobi All Share Index",0,0.002673618,0,953606.35,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",953606.35,0,1,0,0,0,0.000624166117088138,-0.0562240288829119,0,0,0.002673618,0,0.04,0,0.00010694472,-0.01089305528,-0.0393758338829119,-1.72437583388291,-0.002673618,0.008326382,-0.00010694472,0.01089305528,-0.000105275938234363,-0.00510527593823436,-0.00246139734176564,0.00253860265823436,-0.000212220658234363,0.00578777934176564
"3","75DD7419-9390-4C9E-8F64-1B674E439628","63E966AC-F07A-E411-8298-A45D36CA17D6","543033A4-5E8A-DF11-89DA-001C26EE1812","Uchumi Supermarket Ltd Ord 5.00","Listed Equity","EQUITIES",37,0,0,0,0,37,10557,0.000629344,10557,1,"00:00.0",1,0,0,0,0,0.063,0,0,0,0,0,0.51,0.51,0,1,"Nairobi All Share Index",0,0.002673618,0,10557,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",10557,0,1,0,0,0,0.00000690989704305081,-0.000622434102956949,0,0,0.002673618,0,0,0,0,0,0.00000690989704305081,-0.062993090102957,-0.002673618,-0.002673618,0,0,0.0000000184744251124474,0.0000000184744251124474,-0.00267363647442511,-0.00267363647442511,0.0000000184744251124474,0.0000000184744251124474
"4","7DF4505A-74DD-49D4-8F3E-25CF2E2123C7","63E966AC-F07A-E411-8298-A45D36CA17D6","1D816DB5-49A7-E211-AA69-000C29D7DB13","Liberty Kenya Holdings Ltd Ord.1.00","Listed Equity","EQUITIES",921,0,0,0,0,921,313500,0.018688958,313500,0.966507177,"00:00.0",1,0,0,0,0,1.869,-3.349,0.005,0,-3.354,0.005,10.45,10.1,-0.033492823,1,"Nairobi All Share Index",-0.000625946,0.002673618,-0.033492823,303000,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",313500,0,0.966507177033493,0.0000000000334928751399843,-0.0334928229665071,0.0000000000334928682010904,0.00019832327404039,-0.0184906347259596,-0.00000664240630757286,0.000619303593692427,0.002673618,0,0,0,0,0,0.00019832327404039,-1.86880167672596,-0.0361664409665071,3.31283355903349,0,0,0.000000530240675293319,-0.00499946975932471,-0.0361669712071824,3.31783302879282,0.000000530240675293319,-0.00499946975932471
"5","B9089FED-E5C4-4728-B89D-26BC8D953BA4","63E966AC-F07A-E411-8298-A45D36CA17D6","979AF572-FDE4-E011-8DD5-F8BB536C7A63","Stanbic Holdings Plc Ord.5.00","Listed Equity","EQUITIES",38200,0,0,0,0,38200,715843.8,0.042674242,715843.8,1.02514515,"00:00.0",1,0,0,0.05,0.013,-0.733,2.501,-0.002,0.112,2.391,0.11,99,101.5,0.025252525,1,"Nairobi All Share Index",0.00107305,0.002673618,0.02514515,733843.8,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",715843.8,0,1.02514515038057,0.000000000380571796299023,0.0251451503805717,0.000000000380571744257319,0.000480324439109707,-0.0421939175608903,0.0000120778302528773,-0.00106097216974712,0.002673618,0,0.05,0,0.0001336809,-0.0128663191,-0.0495196755608903,0.68348032443911,0.0224715323805717,-2.47852846761943,0.00112357661902859,-0.110876423380971,-0.000132396695933756,0.00186760330406624,0.0214803524574769,-2.36951964754252,0.000991179923094831,-0.109008820076905
"6","D881C017-8324-4128-994A-34E7924B20DA","63E966AC-F07A-E411-8298-A45D36CA17D6","37C7FE8A-49A7-E211-AA69-000C29D7DB13","CIC Insurance Group Ltd Ord.1.00","Listed Equity","EQUITIES",400000,0,0,0,0,400000,145905,0.008697966,145905,1.005633803,"00:00.0",1,0,0,0.03,0.008,-2.13,0.555,-0.006,0.009,0.552,0.003,3.55,3.57,0.005633803,1,"Nairobi All Share Index",0.0000490026,0.002673618,0.005633803,146727,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",145905,0,1.0056338028169,-0.000000000183098647354996,0.0056338028169014,-0.000000000183098598782738,0.0000960375545548656,-0.00860192844544513,0.000000541056645379524,-0.0000484615433546205,0.002673618,0,0.03,0,0.00008020854,-0.00791979146,-0.0299039624454451,2.10009603755455,0.0029601848169014,-0.552039815183099,0.000088805544507042,-0.00891119445549296,-0.0000799517722654661,0.00592004822773453,0.00295133104465983,-0.54904866895534,0.00000885377224157589,-0.00299114622775842
"7","CD5DB9A0-88C0-4D8A-AE13-6E2FED42230F","63E966AC-F07A-E411-8298-A45D36CA17D6","5A3033A4-5E8A-DF11-89DA-001C26EE1812","Centum Investment Co Ltd Ord 0.50","Listed Equity","EQUITIES",25084,0,0,0,0,25084,209186.8,0.012470441,209186.8,1.036624204,"00:00.0",1,0,0,0.02,0.005,-0.753,3.657,-0.002,0.068,3.591,0.066,31.4,32.55,0.036624204,1,"Nairobi All Share Index",0.00045672,0.002673618,0.036624204,216848.1,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",209186.8,0,1.03662420382166,-0.000000000178343784185131,0.0366242038216562,-0.000000000178343791124025,0.000141934076440389,-0.0123285069235596,0.00000519822254479134,-0.000451521777455209,0.002673618,0,0.02,0,0.00005347236,-0.00494652764,-0.0198580659235596,0.73314193407644,0.0339505858216562,-3.62304941417834,0.000679011716433124,-0.0673209882835669,-0.0000530928824984156,0.00194690711750158,0.0333246669877215,-3.55767533301228,0.000625918833934709,-0.0653740811660653
"8","B46128D9-793F-4C0C-9D2E-7F077E77F91E","63E966AC-F07A-E411-8298-A45D36CA17D6","5C3033A4-5E8A-DF11-89DA-001C26EE1812","Kenya Commercial Bank Ltd Ord 1.00","Listed Equity","EQUITIES",3038846,0,0,0,0,3038846,5346493.75,0.318725352,5346493.75,1.011076923,"00:00.0",1,0,0,0.05,0.013,26.873,1.094,0.072,0.042,0.98,0.114,38.25,38.7,0.011764706,1,"Nairobi All Share Index",0.003530496,0.002673618,0.011076923,5405716.45,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",5346493.75,0,1.01107692307692,0.0000000000769231345287835,0.0110769230769232,0.000000000076923205652446,0.00353821579174255,-0.315187136208257,0.0000391925441546872,-0.00349130345584531,0.002673618,0,0.05,0,0.0001336809,-0.0128663191,-0.0464617842082575,-26.9194617842083,0.00840330507692321,-1.08559669492308,0.00042016525384616,-0.0415798347461538,-0.000124221062571313,-0.0721242210625713,0.00810736088564836,-0.971892639114352,0.000295944191274847,-0.113704055808725
"9","F87D878C-8329-4AD0-8DC9-890C21910ECC","63E966AC-F07A-E411-8298-A45D36CA17D6","6D3033A4-5E8A-DF11-89DA-001C26EE1812","Kenya Power Lighting Co Ltd Ord 20.00","Listed Equity","EQUITIES",51,0,0,0,0,51,64321.15,0.003834435,64321.15,1,"00:00.0",1,0,0,0.01,0.003,-0.617,-0.003,-0.002,-0.003,0.002,-0.004,3.89,3.89,0,1,"Nairobi All Share Index",0,0.002673618,0,64321.15,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",64321.15,0,1,0,0,0,0.0000421002675182938,-0.00379233473248171,0,0,0.002673618,0,0.01,0,0.00002673618,-0.00297326382,-0.00995789973248171,0.607042100267518,-0.002673618,0.000326382,-0.00002673618,0.00297326382,-0.0000266236199669583,0.00197337638003304,-0.00262025820003304,-0.00462025820003304,-0.0000533597999669583,0.00394664020003304
"10","AF5E095A-1C66-4396-A00A-BE5F29768866","63E966AC-F07A-E411-8298-A45D36CA17D6","00E83D5F-FF5F-DF11-B84B-00C09FC85DD6","Athi River Mining Ord 5.00","Listed Equity","EQUITIES",2000,0,0,0,0,2000,4856250,0.289500009,4856250,1,"00:00.0",1,0,0,0,0,28.95,0,0.077,0,-0.077,0.077,5.55,5.55,0,1,"Nairobi All Share Index",0,0.002673618,0,4856250,"00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000",0,"00000000-0000-0000-0000-000000000000",4856250,0,1,0,0,0,0.0031785722757711,-0.286321436724229,0,0,0.002673618,0,0,0,0,0,0.0031785722757711,-28.9468214277242,-0.002673618,-0.002673618,0,0,0.00000849828805080258,-0.0769915017119492,-0.0026821162880508,0.0743178837119492,0.00000849828805080258,-0.0769915017119492
