X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,Y
0.098634716,0.193707531,-0.071428811,0.169710545,0.235398499,0.21829494,-0.082629273,-0.081067777,-0.01591694,0.063442476,-0.04198719,-0.032152419,-0.088115953,0.211122812,-0.091219649,-0.087641531,-0.20052743,-0.067390546,-0.080109472,-0.089470025,-0.069688568,-0.016714268,-0.018528588,-0.015995036,-0.031143007,-0.041376105,-0.020097607,-0.022103558,-0.023831758,0.50425069,-0.022652443,-0.039446935,0.297515523,1.658956808
0.096150706,0.252754579,-0.086599759,0.248080981,0.084766533,0.234602859,-0.079862882,-0.081355344,-0.031838933,0.084286714,-0.039049394,-0.041228277,-0.087372646,0.209699473,-0.086980947,-0.085266224,-0.202297117,-0.083870862,-0.088092909,-0.085608291,-0.065909722,-0.00303875,0.339515531,-0.035541106,-0.036756018,-0.021293815,-0.020964074,-0.023242489,0.018955147,-0.012843477,-0.023430537,-0.04125784,0.300249186,0.423706362
0.088872895,0.13680504,-0.067500139,0.163771908,0.403257311,0.229545785,-0.089680338,-0.083036888,-0.030331011,0.003629887,-0.03890782,-0.013726847,-0.085062341,0.261926964,-0.087233073,-0.086145388,-0.200632988,-0.066763313,-0.076026296,-0.081404544,-0.069872939,-0.015856486,-0.030398506,-0.02143122,-0.035498172,-0.032057029,-0.01732984,-0.020957451,-0.025913908,0.029584913,-0.023205774,-0.038399397,0.295029025,0.345117512
0.104217176,0.269325207,-0.082602952,0.32674953,0.141323451,0.197751434,-0.083431094,-0.079189713,-0.032956251,0.243063134,-0.040725351,-0.040766677,-0.085188693,0.195626206,-0.084889703,-0.083647874,-0.204318018,-0.085609368,-0.083062418,-0.089196804,-0.066722386,-0.01755841,-0.027782476,-0.01410584,-0.035149541,-0.04737027,-0.019036029,-0.022790254,-0.02639183,0.573288877,-0.022400055,-0.041229005,-0.036952103,11.26263438
0.106083704,0.271404033,-0.08002463,0.235462979,0.093752528,0.2265896,-0.083639533,-0.085578005,-0.033640249,0.047792916,-0.036312191,-0.039856839,-0.082739445,0.228990114,-0.087334702,-0.085382302,-0.203913477,-0.078026883,-0.084159221,-0.083197953,-0.067151716,-0.016763975,-0.022959347,-0.030981045,-0.037615066,-0.027832328,-0.021330218,0.011321286,-0.024136633,-0.029548601,-0.02338669,-0.040907018,-0.036459002,8.86895224
0.090636751,0.187905006,-0.080552906,0.143748997,0.160212996,0.146621835,-0.084394348,-0.084994166,-0.035578627,0.032521019,-0.042731212,-0.045574447,-0.097235306,0.234562065,-0.09125011,-0.091724595,-0.207380032,-0.090218379,-0.089864712,-0.091568071,-0.072154874,-0.016491765,-0.026033742,-0.026437907,-0.037077707,-0.033285523,-0.021163596,0.008961699,-0.026368981,0.079079151,-0.023494097,-0.040567515,-0.038936294,10.38904024
0.085895191,0.273692736,-0.075928965,0.174849561,0.177508533,0.175992163,-0.083622681,-0.082008641,-0.035682186,0.020767967,-0.035240884,-0.040166412,-0.077340931,0.276140907,-0.083410646,-0.084005151,-0.2053886,-0.086649396,-0.079259582,-0.09006656,-0.069234565,-0.016824031,-0.03330842,-0.007127204,-0.03413742,-0.031021302,0.008655656,0.008743416,-0.027529568,-0.023051982,-0.023248487,-0.038832503,0.298634747,2.272202632
0.095296431,0.165664221,-0.066839375,0.181454134,0.310017921,0.218196221,-0.087384535,-0.085893558,-0.035436842,0.236842084,-0.045322395,-0.034805298,-0.084215341,0.175967486,-0.088609204,-0.088248369,-0.204179335,-0.086691982,-0.077092057,-0.084664835,-0.071382347,-0.017012711,-0.031622292,-0.022555768,-0.037934533,-0.031505162,-0.012397324,-0.021929321,-0.028191691,-0.028969152,-0.023231694,-0.040263646,0.296053853,2.281721671
0.093598803,0.148135797,-0.074867836,0.1396628,0.307252361,0.155111629,-0.088616154,-0.083405915,-0.03581362,0.104279399,-0.050106603,-0.042790229,-0.090586738,0.230424573,-0.090545683,-0.089357213,-0.206691551,-0.084171438,-0.069267495,-0.092327116,-0.071583382,-0.016211956,-0.034324219,-0.026764623,-0.037081998,-0.031649999,-0.021295334,-0.020186754,-0.028528039,-0.028352251,-0.018192968,-0.034991149,0.295568553,1.826044698
0.091440105,0.190467168,-0.071147978,0.220586732,0.361870703,0.18300885,-0.09192146,-0.079654569,-0.035130373,0.02905223,-0.037414237,-0.036330709,-0.079333246,0.261787275,-0.084826798,-0.084209797,-0.205891689,-0.081291034,-0.067640399,-0.088929411,-0.069057523,-0.01573414,-0.027924033,-0.024956968,-0.036866541,-0.03371907,-0.021241358,-0.006005588,-0.02735315,0.016983183,-0.023044727,-0.037422504,-0.04090744,9.090327278
0.084034685,0.194899011,-0.083807006,0.189347975,0.087685893,0.1633283,-0.081961145,-0.083425496,-0.036109922,0.075709757,-0.046908004,-0.022235692,-0.09121307,0.215528191,-0.087571854,-0.087760738,-0.207871007,-0.077785999,-0.079726971,-0.087349068,-0.066678605,-0.01736001,-0.032804118,-0.030513925,-0.02867285,-0.022694159,-0.022432091,0.65124843,-0.027027215,-0.024195767,-0.022660435,-0.035527563,0.298991923,-10.05249579
0.09047371,0.217364115,-0.087203868,0.225464051,0.161555107,0.187225786,-0.08501081,-0.08553776,-0.036399784,0.111168453,-0.052750316,-0.027379625,-0.088102371,0.215421316,-0.087585946,-0.087729819,-0.206255681,-0.081075444,-0.076636251,-0.085860872,-0.069747315,-0.017022482,-0.033686641,-0.029440688,-0.032543359,-0.026549785,-0.020977007,-0.022878133,-0.028245071,-0.029599126,-0.02303066,-0.037611461,-0.038089508,10.9043608
0.097430275,0.216378107,-0.077598014,0.240281362,0.225961127,0.258189396,-0.085281218,-0.083651439,-0.034107774,0.118924627,-0.04468183,-0.022402057,-0.081583078,0.21016252,-0.086434546,-0.084523111,-0.202060841,-0.081468336,-0.069268099,-0.082776938,-0.067430437,-0.01737827,-0.035860576,-0.033091761,0.010983145,0.007996681,-0.022177394,-0.02097665,-0.028287535,-0.029506129,-0.018806547,-0.011159793,0.298653794,2.730875988
0.105764011,0.260960701,-0.080414104,0.264406446,0.1336109,0.25578534,-0.085060435,-0.081668527,-0.034210063,0.082382768,-0.039581685,-0.034929078,-0.081033223,0.22923287,-0.088457715,-0.084321784,-0.201239858,-0.065539085,-0.06988255,-0.08266535,-0.065782006,-0.017645522,-0.035718168,-0.028757856,-0.038034845,-0.03017872,-0.021226875,-0.022194237,-0.028285921,0.036075671,-0.023137063,-0.040855862,-0.036951053,9.256319856
